vertical,class_code,class_of_business,lines_of_business,gl_eligible,excess_eligible,property_eligible,cyber_eligible,package_eligible,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Contractors,91436,Ceiling or Wall Installation–Metal,"Excess Standalone, GL",YES,YES,NO,NO,NO,31,25,6,80.6,21.4,Moderate appetite – converts well
Contractors,96410,Insulation Work–Mineral,"Excess Standalone, GL",YES,YES,NO,NO,NO,47,25,5,53.2,15.6,Moderate appetite
Contractors,99948,"Water Softening Equipment–Installation, Servicing or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,35,25,3,71.4,11.1,Moderate appetite
Contractors,99946,Water Mains or Connections Construction,"Excess Standalone, GL",YES,YES,NO,NO,NO,44,24,5,54.5,16.7,Moderate appetite
Contractors,99987,Wrecking–Dismantling of Prefabricated Dwellings Not Exceeding Three Stories for Reerection,"Excess Standalone, GL",YES,YES,NO,NO,NO,32,24,3,75.0,11.1,Moderate appetite
Contractors,90670,Decorator – Outdoor or Indoor Displays – Commercial or Residential,"Excess Standalone, GL",YES,YES,NO,NO,NO,34,22,6,64.7,23.1,Moderate appetite – converts well
Contractors,92102,Drilling–Water,"Excess Standalone, GL",YES,YES,NO,NO,NO,52,20,7,38.5,22.6,Moderate appetite – converts well
Contractors,97652,Metal Erection–In the Construction of Dwellings Not Exceeding Two Stories in Height,"Excess Standalone, GL",YES,YES,NO,NO,NO,60,20,8,33.3,25.8,Moderate appetite – converts well
Contractors,94304,"Fire Extinguishers–Servicing, Refilling, or Testing","Excess Standalone, GL",YES,YES,NO,NO,NO,46,19,5,41.3,17.2,Moderate appetite
Contractors,96611,Interior Decorators,"Excess Standalone, GL",YES,YES,NO,NO,NO,29,17,5,58.6,25.0,Moderate appetite – converts well
Contractors,98805,Septic Tank System - cleaning,"Excess Standalone, GL",YES,YES,NO,NO,NO,23,17,4,73.9,21.1,Moderate appetite – converts well
Contractors,99954,Waterproofing–By Trowel–Interior or Insulation Work,GL,YES,NO,NO,NO,NO,21,16,5,76.2,26.3,Moderate appetite – converts well
Contractors,98813,Sewer Cleaning,"Excess Standalone, GL",YES,YES,NO,NO,NO,18,15,4,83.3,25.0,Moderate appetite – converts well
Contractors,90089,Advertising Sign Cos.–Outdoor,"Excess Standalone, GL",YES,YES,NO,NO,NO,28,14,9,50.0,47.4,Moderate appetite – converts well
Contractors,91250,"Boiler Inspection, Installation, Cleaning or Repair","Excess Standalone, GL",YES,YES,NO,NO,NO,21,12,0,57.1,0.0,Moderate appetite
Contractors,98698,Salvage Operations,"Excess Standalone, GL",YES,YES,NO,NO,NO,25,12,3,48.0,21.4,Moderate appetite – converts well
Contractors,98344,Paperhanging,"Excess Standalone, GL",YES,YES,NO,NO,NO,19,11,3,57.9,23.1,Moderate appetite – converts well
Contractors,98640,Renovating–Outside Surfaces of Buildings,"Excess Standalone, GL",YES,YES,NO,NO,NO,22,11,1,50.0,8.3,Moderate appetite
Contractors,99952,Waterproofing–By Pressure Apparatus,"Excess Standalone, GL",YES,YES,NO,NO,NO,19,11,5,57.9,31.3,Moderate appetite – converts well
Contractors,14913,Locksmiths,GL,YES,NO,NO,NO,NO,22,10,1,45.5,7.7,Moderate appetite
Contractors,99709,"Tent or Canvas Goods–Erection, Removal or Repair–Away from Shop","Excess Standalone, GL",YES,YES,NO,NO,NO,22,10,6,45.5,40.0,Moderate appetite – converts well
Contractors,92101,Drilling–Other Than Water,GL,YES,NO,NO,NO,NO,9,8,1,88.9,12.5,Limited appetite – low volume
Contractors,98710,Sand or Gravel Digging,"Excess Standalone, GL",YES,YES,NO,NO,NO,11,8,3,72.7,33.3,Limited appetite – low volume
Contractors,97221,"Machinery or Equipment–Farm–Installation, Servicing, Repair or Erection",GL,YES,NO,NO,NO,NO,9,7,0,77.8,0.0,Limited appetite – low volume
Contractors,99953,Waterproofing–By Trowel–Exterior,GL,YES,NO,NO,NO,NO,11,7,1,63.6,12.5,Limited appetite – low volume
Contractors,49840,Window Decorating,"Excess Standalone, GL",YES,YES,NO,NO,NO,8,6,0,75.0,0.0,Limited appetite – low volume
Contractors,98699,"Salvage Operations–Removing, Sorting, Reconditioning and Distributing of Merchandise in Damaged Buildings and Incidental Operations Away from Such Buildings","Excess Standalone, GL",YES,YES,NO,NO,NO,29,5,1,17.2,11.1,Limited appetite – low volume
Contractors,99004,Sign Painting or Lettering–on Buildings or Structures,"Excess Standalone, GL",YES,YES,NO,NO,NO,10,5,2,50.0,28.6,Limited appetite – low volume
Contractors,99826,Upholstering,"Excess Standalone, GL",YES,YES,NO,NO,NO,11,5,1,45.5,12.5,Limited appetite – low volume
Contractors,99827,Upholstering–Shop Only,GL,YES,NO,NO,NO,NO,6,5,1,83.3,16.7,Limited appetite – low volume
